# -------------------------------------------------------
# App: com.phonegap.urbanexplorer, date: 20140218-20140325
# -------------------------------------------------------

date,current_device_installs
20140325,27
20140324,25
20140323,20
20140322,20
20140321,21
20140320,23
20140319,23
20140318,23
20140317,21
20140316,21
20140315,21
20140314,21
20140313,19
20140312,10
20140311,10
20140310,10
20140309,11
20140308,11
20140307,11
20140306,12
20140305,12
20140304,12
20140303,13
20140302,13
20140301,13
20140228,13
20140227,13
20140226,15
20140225,16
20140224,7
20140223,5
20140222,5
20140221,5
20140220,4
20140219,3
20140218,2
